iter	Passed	Remaining
0	165	165790
1	169	84462
2	172	57347
3	174	43437
4	188	37604
5	199	33032
6	202	28681
7	216	26797
8	218	24027
9	229	22716
10	236	21307
11	239	19706
12	270	20499
13	277	19531
14	279	18363
15	282	17356
16	284	16476
17	286	15643
18	288	14911
19	292	14333
20	308	14395
21	310	13810
22	321	13667
23	323	13166
24	328	12800
25	339	12723
26	352	12687
27	355	12324
28	357	11963
29	373	12069
30	382	11948
31	384	11626
32	413	12130
33	416	11837
34	418	11544
35	430	11537
36	433	11294
37	445	11289
38	466	11490
39	468	11245
40	481	11258
41	484	11040
42	486	10819
43	488	10622
44	519	11017
45	522	10829
46	524	10638
47	526	10448
48	543	10540
49	559	10628
50	572	10644
51	590	10765
52	614	10973
53	617	10814
54	621	10683
55	671	11324
56	698	11554
57	703	11432
58	707	11284
59	715	11205
60	778	11982
61	781	11825
62	789	11734
63	793	11606
64	796	11458
65	798	11300
66	811	11304
67	812	11142
68	826	11155
69	828	11013
70	839	10989
71	842	10855
72	858	10904
73	873	10929
74	877	10823
75	880	10710
76	895	10735
77	897	10610
78	900	10492
79	902	10376
80	906	10281
81	908	10175
82	911	10071
83	916	9997
84	931	10023
85	933	9916
86	935	9814
87	937	9718
88	946	9686
89	950	9614
90	964	9634
91	966	9538
92	977	9530
93	979	9438
94	981	9351
95	998	9399
96	1003	9341
97	1007	9271
98	1009	9188
99	1020	9181
100	1022	9098
101	1023	9010
102	1055	9193
103	1067	9200
104	1070	9124
105	1086	9159
106	1096	9147
107	1100	9090
108	1108	9064
109	1114	9021
110	1128	9039
111	1130	8966
112	1144	8982
113	1146	8910
114	1161	8939
115	1165	8884
116	1167	8813
117	1184	8850
118	1196	8856
119	1205	8840
120	1208	8779
121	1210	8711
122	1224	8731
123	1226	8665
124	1233	8637
125	1235	8571
126	1237	8509
127	1240	8451
128	1243	8393
129	1247	8348
130	1257	8341
131	1260	8287
132	1262	8228
133	1268	8200
134	1280	8207
135	1282	8150
136	1285	8096
137	1298	8109
138	1300	8054
139	1312	8063
140	1325	8075
141	1327	8021
142	1335	8005
143	1338	7954
144	1340	7905
145	1355	7927
146	1357	7875
147	1374	7909
148	1377	7865
149	1390	7881
150	1399	7865
151	1405	7839
152	1419	7860
153	1434	7882
154	1439	7846
155	1441	7800
156	1443	7752
157	1458	7773
158	1460	7727
159	1474	7741
160	1476	7695
161	1484	7677
162	1486	7632
163	1495	7622
164	1497	7578
165	1500	7536
166	1514	7552
167	1515	7506
168	1527	7512
169	1529	7469
170	1535	7442
171	1538	7405
172	1540	7366
173	1543	7328
174	1557	7341
175	1559	7300
176	1563	7268
177	1572	7261
178	1575	7227
179	1583	7212
180	1584	7170
181	1586	7130
182	1589	7097
183	1595	7074
184	1597	7037
185	1599	6998
186	1611	7005
187	1613	6968
188	1624	6970
189	1626	6933
190	1629	6901
191	1631	6865
192	1645	6881
193	1647	6845
194	1650	6814
195	1662	6821
196	1666	6791
197	1669	6762
198	1684	6780
199	1687	6749
200	1690	6719
201	1692	6687
202	1701	6681
203	1704	6649
204	1739	6745
205	1741	6711
206	1745	6685
207	1756	6689
208	1759	6658
209	1762	6629
210	1768	6613
211	1770	6582
212	1772	6549
213	1799	6610
214	1805	6591
215	1807	6560
216	1810	6534
217	1813	6503
218	1815	6474
219	1817	6443
220	1830	6452
221	1832	6423
222	1839	6410
223	1853	6419
224	1863	6419
225	1866	6393
226	1879	6400
227	1893	6411
228	1897	6389
229	1900	6361
230	1902	6333
231	1916	6344
232	1918	6315
233	1926	6307
234	1930	6285
235	1932	6257
236	1935	6232
237	1947	6236
238	1949	6207
239	1953	6184
240	1963	6184
241	1966	6159
242	1968	6131
243	1983	6144
244	1987	6123
245	1989	6098
246	1992	6073
247	1994	6048
248	1999	6030
249	2015	6045
250	2021	6032
251	2027	6016
252	2030	5995
253	2032	5970
254	2044	5972
255	2045	5946
256	2048	5922
257	2061	5929
258	2063	5903
259	2066	5881
260	2078	5886
261	2084	5870
262	2086	5845
263	2090	5827
264	2103	5834
265	2105	5810
266	2111	5797
267	2120	5792
268	2124	5773
269	2126	5750
270	2139	5754
271	2141	5730
272	2153	5735
273	2155	5711
274	2168	5717
275	2170	5694
276	2181	5693
277	2183	5670
278	2185	5648
279	2199	5655
280	2201	5633
281	2203	5611
282	2205	5588
283	2211	5574
284	2223	5577
285	2225	5557
286	2227	5534
287	2240	5538
288	2243	5520
289	2256	5525
290	2263	5513
291	2266	5494
292	2268	5472
293	2270	5453
294	2279	5448
295	2283	5430
296	2299	5443
297	2319	5463
298	2321	5443
299	2323	5422
300	2329	5409
301	2331	5388
302	2333	5367
303	2335	5346
304	2337	5325
305	2346	5321
306	2349	5302
307	2352	5284
308	2354	5264
309	2367	5270
310	2376	5265
311	2380	5250
312	2396	5260
313	2412	5271
314	2424	5272
315	2427	5254
316	2441	5259
317	2443	5241
318	2451	5233
319	2456	5220
320	2459	5202
321	2461	5183
322	2464	5165
323	2477	5168
324	2479	5149
325	2494	5156
326	2505	5156
327	2508	5139
328	2524	5148
329	2537	5152
330	2549	5153
331	2554	5139
332	2564	5137
333	2568	5121
334	2582	5125
335	2587	5113
336	2591	5097
337	2602	5097
338	2632	5133
339	2634	5114
340	2640	5103
341	2642	5084
342	2655	5087
343	2661	5076
344	2677	5082
345	2679	5064
346	2681	5046
347	2691	5041
348	2697	5031
349	2699	5013
350	2702	4996
351	2709	4988
352	2713	4972
353	2729	4980
354	2745	4989
355	2760	4994
356	2765	4980
357	2776	4979
358	2778	4961
359	2793	4966
360	2806	4968
361	2818	4967
362	2829	4964
363	2831	4947
364	2833	4929
365	2839	4918
366	2842	4901
367	2845	4886
368	2849	4872
369	2851	4855
370	2853	4838
371	2867	4840
372	2869	4823
373	2930	4905
374	2958	4930
375	2962	4915
376	2964	4899
377	2967	4883
378	2973	4871
379	2977	4858
380	2979	4841
381	2984	4828
382	2988	4813
383	2991	4798
384	3004	4799
385	3006	4782
386	3011	4770
387	3016	4757
388	3018	4741
389	3021	4725
390	3029	4718
391	3031	4702
392	3043	4701
393	3047	4686
394	3050	4672
395	3052	4656
396	3055	4640
397	3057	4625
398	3066	4619
399	3068	4603
400	3075	4594
401	3079	4580
402	3081	4564
403	3087	4555
404	3097	4551
405	3100	4536
406	3110	4531
407	3112	4516
408	3117	4504
409	3119	4489
410	3123	4475
411	3125	4460
412	3127	4445
413	3139	4443
414	3142	4429
415	3155	4429
416	3157	4414
417	3167	4409
418	3169	4395
419	3171	4380
420	3183	4377
421	3185	4363
422	3189	4351
423	3193	4338
424	3196	4324
425	3209	4324
426	3211	4309
427	3222	4306
428	3225	4293
429	3238	4293
430	3241	4278
431	3254	4278
432	3256	4263
433	3269	4263
434	3271	4248
435	3277	4239
436	3279	4224
437	3282	4211
438	3296	4212
439	3308	4210
440	3310	4196
441	3325	4198
442	3338	4198
443	3341	4183
444	3351	4180
445	3353	4165
446	3355	4151
447	3368	4150
448	3384	4153
449	3395	4150
450	3398	4137
451	3407	4130
452	3476	4198
453	3479	4185
454	3512	4207
455	3515	4193
456	3524	4187
457	3527	4173
458	3531	4162
459	3536	4151
460	3540	4139
461	3554	4139
462	3583	4155
463	3585	4141
464	3594	4135
465	3596	4121
466	3610	4121
467	3612	4107
468	3615	4093
469	3619	4081
470	3633	4080
471	3643	4076
472	3647	4063
473	3661	4062
474	3663	4049
475	3672	4042
476	3675	4029
477	3677	4015
478	3687	4010
479	3692	4000
480	3703	3995
481	3706	3982
482	3710	3972
483	3716	3961
484	3717	3947
485	3720	3934
486	3724	3923
487	3731	3914
488	3733	3901
489	3737	3889
490	3745	3883
491	3747	3869
492	3749	3856
493	3752	3843
494	3762	3838
495	3765	3825
496	3767	3812
497	3778	3808
498	3781	3796
499	3786	3786
500	3797	3782
501	3799	3769
502	3802	3756
503	3806	3746
504	3809	3734
505	3812	3721
506	3813	3708
507	3816	3696
508	3818	3683
509	3820	3670
510	3823	3659
511	3827	3648
512	3831	3637
513	3833	3624
514	3839	3615
515	3845	3607
516	3847	3594
517	3849	3582
518	3862	3579
519	3864	3567
520	3873	3561
521	3875	3548
522	3878	3537
523	3891	3534
524	3893	3522
525	3905	3518
526	3918	3516
527	3922	3506
528	3932	3501
529	3934	3489
530	3936	3476
531	3944	3470
532	3947	3458
533	3959	3454
534	3962	3444
535	3974	3440
536	3978	3429
537	3981	3419
538	3983	3407
539	3989	3398
540	3991	3386
541	3993	3374
542	4003	3369
543	4007	3359
544	4010	3348
545	4012	3336
546	4014	3324
547	4018	3314
548	4021	3303
549	4023	3291
550	4025	3280
551	4038	3277
552	4041	3266
553	4054	3264
554	4057	3253
555	4067	3247
556	4069	3236
557	4071	3225
558	4080	3219
559	4094	3217
560	4097	3206
561	4103	3197
562	4110	3190
563	4112	3179
564	4114	3168
565	4117	3157
566	4119	3145
567	4133	3144
568	4135	3132
569	4137	3121
570	4146	3115
571	4148	3103
572	4151	3093
573	4163	3090
574	4174	3085
575	4177	3075
576	4191	3072
577	4193	3061
578	4207	3059
579	4209	3048
580	4211	3037
581	4213	3026
582	4218	3017
583	4221	3007
584	4226	2998
585	4228	2987
586	4256	2995
587	4263	2987
588	4268	2978
589	4270	2967
590	4275	2958
591	4277	2947
592	4286	2941
593	4288	2930
594	4290	2920
595	4305	2918
596	4321	2917
597	4333	2913
598	4335	2902
599	4338	2892
600	4342	2883
601	4345	2872
602	4347	2862
603	4362	2859
604	4375	2856
605	4389	2853
606	4391	2843
607	4400	2837
608	4402	2826
609	4404	2816
610	4412	2809
611	4418	2801
612	4431	2797
613	4435	2788
614	4440	2779
615	4442	2769
616	4446	2760
617	4449	2750
618	4461	2745
619	4463	2735
620	4475	2731
621	4489	2728
622	4491	2717
623	4493	2707
624	4495	2697
625	4497	2687
626	4500	2677
627	4514	2673
628	4515	2663
629	4517	2653
630	4527	2647
631	4529	2637
632	4532	2627
633	4534	2617
634	4537	2608
635	4539	2598
636	4552	2594
637	4560	2587
638	4564	2578
639	4567	2569
640	4577	2563
641	4582	2555
642	4594	2551
643	4597	2541
644	4605	2534
645	4607	2524
646	4613	2517
647	4617	2508
648	4620	2498
649	4636	2496
650	4638	2486
651	4647	2480
652	4652	2472
653	4661	2466
654	4665	2457
655	4667	2447
656	4670	2438
657	4682	2433
658	4685	2424
659	4694	2418
660	4697	2409
661	4699	2399
662	4711	2394
663	4715	2386
664	4720	2377
665	4722	2368
666	4732	2362
667	4734	2353
668	4743	2347
669	4746	2337
670	4761	2334
671	4763	2324
672	4768	2317
673	4773	2308
674	4779	2301
675	4783	2292
676	4792	2286
677	4795	2277
678	4815	2276
679	4821	2268
680	4830	2262
681	4832	2253
682	4834	2244
683	4849	2240
684	4861	2235
685	4894	2240
686	4896	2231
687	4914	2228
688	4916	2219
689	4927	2213
690	4930	2204
691	4937	2197
692	4939	2188
693	4941	2179
694	4955	2174
695	4958	2165
696	4974	2162
697	4987	2157
698	4989	2148
699	4999	2142
700	5001	2133
701	5003	2124
702	5020	2120
703	5030	2115
704	5033	2106
705	5041	2099
706	5043	2090
707	5060	2087
708	5077	2083
709	5080	2075
710	5089	2068
711	5093	2060
712	5096	2051
713	5101	2043
714	5119	2040
715	5124	2032
716	5128	2024
717	5130	2015
718	5145	2011
719	5160	2006
720	5162	1997
721	5171	1991
722	5174	1982
723	5177	1973
724	5272	2000
725	5275	1991
726	5286	1985
727	5289	1976
728	5295	1968
729	5298	1959
730	5305	1952
731	5381	1970
732	5383	1961
733	5389	1953
734	5391	1944
735	5394	1934
736	5397	1925
737	5407	1919
738	5411	1911
739	5425	1906
740	5429	1897
741	5432	1889
742	5435	1880
743	5441	1872
744	5444	1863
745	5446	1854
746	5461	1849
747	5471	1843
748	5473	1834
749	5486	1828
750	5488	1819
751	5491	1811
752	5494	1802
753	5508	1797
754	5510	1788
755	5513	1779
756	5524	1773
757	5527	1764
758	5537	1758
759	5540	1749
760	5551	1743
761	5554	1734
762	5570	1730
763	5578	1723
764	5581	1714
765	5585	1706
766	5588	1697
767	5590	1688
768	5592	1679
769	5599	1672
770	5601	1663
771	5603	1655
772	5619	1650
773	5626	1642
774	5632	1635
775	5633	1626
776	5636	1617
777	5650	1612
778	5654	1604
779	5666	1598
780	5671	1590
781	5681	1583
782	5684	1575
783	5699	1570
784	5701	1561
785	5703	1552
786	5714	1546
787	5717	1538
788	5720	1529
789	5724	1521
790	5727	1513
791	5729	1504
792	5732	1496
793	5734	1487
794	5748	1482
795	5750	1473
796	5754	1465
797	5757	1457
798	5761	1449
799	5763	1440
800	5765	1432
801	5767	1423
802	5781	1418
803	5787	1410
804	5789	1402
805	5792	1394
806	5794	1385
807	5808	1380
808	5822	1374
809	5825	1366
810	5827	1358
811	5835	1350
812	5837	1342
813	5839	1334
814	5851	1328
815	5854	1320
816	5866	1314
817	5867	1305
818	5881	1299
819	5883	1291
820	5892	1284
821	5895	1276
822	5907	1270
823	5910	1262
824	5922	1256
825	5924	1248
826	5926	1239
827	5931	1232
828	5933	1223
829	5946	1217
830	5949	1209
831	5951	1201
832	5958	1194
833	5961	1186
834	5963	1178
835	5965	1170
836	5969	1162
837	5971	1154
838	5976	1146
839	5978	1138
840	5984	1131
841	5987	1123
842	5991	1115
843	5994	1108
844	6004	1101
845	6007	1093
846	6012	1086
847	6026	1080
848	6028	1072
849	6041	1066
850	6043	1058
851	6057	1052
852	6059	1044
853	6061	1036
854	6064	1028
855	6074	1021
856	6077	1014
857	6078	1006
858	6082	998
859	6092	991
860	6094	983
861	6097	976
862	6104	969
863	6109	961
864	6114	954
865	6121	947
866	6134	941
867	6147	934
868	6149	927
869	6160	920
870	6176	914
871	6178	906
872	6183	899
873	6187	892
874	6191	884
875	6201	877
876	6207	870
877	6210	862
878	6219	856
879	6222	848
880	6226	841
881	6235	834
882	6237	826
883	6250	820
884	6252	812
885	6260	805
886	6262	797
887	6273	791
888	6275	783
889	6277	775
890	6281	768
891	6283	760
892	6294	754
893	6298	746
894	6312	740
895	6323	733
896	6325	726
897	6336	719
898	6339	712
899	6351	705
900	6354	698
901	6367	691
902	6370	684
903	6381	677
904	6386	670
905	6399	663
906	6404	656
907	6415	649
908	6418	642
909	6428	635
910	6430	628
911	6433	620
912	6447	614
913	6464	608
914	6475	601
915	6487	594
916	6490	587
917	6495	580
918	6497	572
919	6505	565
920	6510	558
